titles,released,developers,publishers,id,summary,storyline,genres
Alan Wake,2012,"Remedy Entertainment, Nitro Games",Legacy Interactive,1062,"Presented in the style of a TV series, Alan Wake features the trademark Remedy storytelling and pulse-pounding action sequences. As players dive deeper and deeper into the mystery, they’ll face overwhelming odds, plot twists, and cliffhangers. It’s only by mastering the Fight With Light combat mechanic that they can stay one step ahead of the darkness that spreads across Bright Falls.With the body of an action game and the mind of a psychological thriller, Alan Wake’s intense atmosphere, deep and multi-layered story, and exceptionally tense combat sequences provide players with an entertaining and original gaming experience.","When the wife of the best-selling writer Alan Wake disappears on their vacation, his search turns up pages from a thriller he doesn’t even remember writing. A Dark Presence stalks the small town of Bright Falls, pushing Wake to the brink of sanity in his fight to unravel the mystery and save his love.","[5, 31]"
Alan Wake's American Nightmare,2012,"Remedy Entertainment, Nitro Games",Remedy Entertainment,2602,"In this brand new standalone experience, Alan Wake fights the herald of darkness, the evil Mr. Scratch! A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode make this a must for Alan Wake veterans, and the perfect jumping on point for new players!","The plot of American Nightmare is framed by the narration of an episode of the fictional TV show, Night Springs, which follows the style of The Twilight Zone and appeared on television screens throughout the original Alan Wake.Alan Wake's friend and manager, Barry, is asleep in a motel room. The narration explains that Alan is attempting to chase down the herald of darkness, Mr. Scratch, who is Alan's evil doppelganger created by a dark force. Scratch is determined to take away everything Alan loves, including his wife, Alice. Alan, as the champion of light, has the ability to rewrite reality, and was able to write his escape from Cauldron Lake in Washington. He ends up near the small town of Night Springs, Arizona, and learns that he has been missing from the real world for nearly two years.A nearby oil derrick erupts with several foes controlled by Mr. Scratch. Seeking light, Alan runs to a nearby motel, where he encounters Emma Sloan, who at first thinks he is Mr. Scratch, since they look identical. She tells Alan that Scratch was at the motel the night before, and provides Alan with a typewritten page, a way to alter reality to destroy the derrick and stop the foes. Alan follows its instructions, which causes a meteor to collide with an artificial satellite, sending it hurtling towards the ground, where it then collides with the oil derrick. While Alan is away performing this task, the dark forces consume Emma.Following clues he found at the motel, along with a set of keys, Alan heads to a nearby observatory. There, Dr. Rachel Meadows, who also met Mr. Scratch previously, is tracking a mysterious signal sent just before the satellite was knocked out of orbit. Rachel tells Alan that Mr. Scratch was very interested in this signal, and Alan surmises that it must contain the key to fighting the darkness. While attempting to obtain the complete signal, the observatory's telescope is sabotaged by the darkness, which reinforces Alan's belief that the signal contains something he needs. After repairing the damage, a portion of the signal comes through that translates into a page of a story: a new reality that Alan can presumably implement.The page points him to a nearby drive-in theater, where he meets Serena Valdivia, who is under the influence of the darkness. After freeing her by restoring power and switching the lights on, Serena tells Alan that Mr. Scratch is trying to prevent the sun from ever rising again. She gives Alan the security code to the projection room where he can change reality. Alan uses the incomplete message to try to set the new reality. However, as the message is only partial, the new reality does not take effect. Mr. Scratch appears, gloating, and sends Alan back in time to a few hours before.Waking up again near the motel, Alan repeats many of the same motions. Emma and Rachel still have some deja vu of the previous loop's events, and have helped perform some of Alan's previous tasks for him. Despite his efforts to change events this time around, Emma is nevertheless consumed again by the darkness. Rachel is able to capture a longer portion of the signal this time, but it is still incomplete. When Alan returns to the drive-in theater, he is again unable to complete the new reality and is sent back in time again by Mr. Scratch.Alan repeats his actions for a third time, but this time, he is able to save Emma and gain the complete message from Rachel. He sets the correct series of events in the projection room, which triggers the projector to show a film made by Alice. Mr. Scratch appears again, but discovers that Alan has successfully written the new reality, and he is burned out of existence by the film. On the screen, Alan appears to reunite with Alice along a sun-lit shoreline; however, the narrator notes that this could quite possibly be just a figment of Alan's imagination, since he is still trapped in the Dark Place.During the credits, it is revealed that the name of the episode of Night Springs that Alan wrote himself into was titled Return, a reference to the manuscript he began to type at the end of Special Two: The Writer.After completion of the game's credits, Barry wakes up suddenly, believing he has heard Alan's voice.","[5, 31]"
Alchemy,2001,PopCap Games,PopCap Games,3754,An Iphone game where players must combine starting elements to make 211 more.,,[9]
Alexander,2004,GSC Game World,Ubisoft,9359,"Alexander is an RTS based on the movie of the same same, and the real-life Alexander the Great. The game follows the same general path as the movie, and includes media straight from the film. Present in the game are Greek, Persian, Indian and Egyptian forces, with a campaign for each. The hybrid 2D/3D engine (2D units, 3D terrain - also used in Cossacks 2: Napoleonic Wars) allows for a very large number of troops on the field. This is used to good effect, as battles can easily contain hundreds of units. Finally, multiplayer and skirmish levels are available, and the soundtrack (of the game and the movie) is by the composer Vangelis.",,"[11, 15]"
Alfa Romeo Racing Italiano,2005,Milestone srl,Valcon Games,5721,"Alfa Romeo Racing Italiano, known in Europe as SCAR, is a Gran Turismo-style racing game. It is similar to the Gran Turismo series except for the role-playing game elements. The game was lauded for having artificial intelligence superior to Gran Turismo 4. When compared to Gran Turismo 4, Alfa Romeo Racing Italiano has far fewer cars and tracks. All the cars in the game are manufactured by the Alfa Romeo motor company. While most of the tracks are in Italy, a few are in other countries like Germany and the United States. A distinguishing feature of the game is that it models driver development using a system almost identical to a role-playing video game. In addition, cars get damaged, both visibly and in performance, by collisions or by driving off course.",,"[10, 12]"
Alias,2004,Acclaim Cheltenham,Acclaim Entertainment,5719,"Alias is a third-person action adventure containing a unique blend of action and stealth that puts you under fire and under pressure. Whether you're up against the clock or being hunted by the enemy, fighting against the odds, or fleeing for your life, the action is relentless. Utilize your incredible spyware, deadly moves, and array of disguises to complete the most dangerous covert missions across the globe. All the heart-stopping action and tension of the TV series is now under your control.",,"[5, 31]"
Alice: An Interactive Museum,1994,Toshiba-EMI Ltd,Synergy Interactive Crop.,74064,"Japanese-developed visual novel / point-and-click adventure game, released in 1991. The title and imagery is inspired by Alice in Wonderland. Designed and directed by Haruhiko Shono, it pioneered the use of pre-rendered 3D graphics in adventure games, two years before Myst.",,"[2, 31, 34]"
Alice VR,2016,Carbon Studio,Klabater,23187,"Alice VR is an adventure sci-fi game exploring the power of virtual reality.An unexpected malfunction forces your ship’s AI to wake you from the cryo sleep. You have to make an emergency landing on an alien planet and your goal there is simple: find or purchase fuel and escape. This straightforward task gets complicated when you realize that all of the planet’s citizens had disappeared in mysterious circumstances. The player has to deal with a series of puzzles, designed specifically for VR, and make decisions that will ultimately lead to the truth about the planet and its secrets. The future is in the player’s hands.",,"[31, 32]"
Alien Shooter: Vengeance,2007,Sigma Team,Sigma Team,14145,Alien Shooter: Vengeance is a top down shooter with role playing elements. The game pits you against hordes of aliens as you battle for survival.,,[33]
Alien Stars,2005,Awem,Awem,25535,Alien Star,,[30]
Alien Swarm,2010,Valve,Valve,7598,"Alien Swarm is a game and Source SDK release from a group of talented designers at Valve who were hired from the Mod community.  Available free of charge, the game thrusts players into an epic bug hunt featuring a unique blend of co-op play and squad-level tactics. With your friends, form a squad of four distinct IAF Marine classes. Plan your attack using an unlockable arsenal of weapons with countless loadout configurations against a wide variety of aliens. Blaze your way through an overrun, off-world colony, eradicating the alien infestation in environments ranging from the icy planet's surface, to a subterranean lava-flooded mining facility. Along with the game get the complete code base for Alien Swarm that features updates to the Source engine as well as the SDK. Alien Swarm adds 3rd person camera, depth of field, improved dynamic shadows and a wide variety of gameplay additions to the Source engine.  - Tactical, 4 player co-op action game with a top-down perspective  - Complete game code and mod tools  - Unlock persistent items by gaining levels  - Over 40 weapons and equipment with countless loadout configurations  - 4 unique classes and 8 unique characters  - Matchmaking, Steam Cloud, Steam Stats  - 64 achievements  - Tile-based map generation tool  - Powered by Source and Steam",,[5]
Aliens versus Predator,1999,Rebellion Developments,"Sierra Entertainment, Fox Interactive",9979,"Aliens versus Predator offers three separate campaigns, each playable as a separate species: Alien, Predator, or human Colonial Marine. Each player character has different objectives, abilities, and weapons. The single-player campaign presents the player with a conventional series of levels to progress through that are designed around the abilities of each character.As the Colonial Marine the player uses a number of weapons to combat Aliens and Predators. The marine wears armor for protection and uses an image intensifier and flares to improve visibility in dark areas.When playing as the Predator the player uses a variety of weapons from the Predator films such as wrist blades, a throwing disc, and shoulder-mounted energy weapons. The Predator is the most durable of the three player characters and can survive falls from greater heights than the human. The player can use a cloaking device to become invisible and several different modes of vision to detect enemies, including an infrared vision mode and a mode sensitive to electrical systems.As an Alien the player can explore most of the game's environments freely, even climbing across walls and ceilings. The Alien has no weapons, however, using its claws, tail, and jaws to attack enemies. The screen is distorted into a fish eye lens effect to reflect the Alien's field of view. The player can also use a form of echolocation in dark areas and can detect pheromones to discern human or Predator enemies. The Alien can drop from any height without injury and is the fastest of the three player characters.Several bonus levels allow each player character access to portions of the missions of the other characters. To allow the marine and Predator characters to traverse through the areas of the Alien missions, the player is supplied with a jet pack for the marine and a grappling hook for the Predator.","The storylines of the three player characters are independent of one another. As an Alien the player must defend the Alien hive from human marines, then stow away on an evacuating spacecraft and reach the marines' ship, the Ferarco. When the Ferarco's self-destruct system is activated, the player must reach the escape shuttle, which takes them to Gateway Station. Here the player explores the station and battles more marines, reaching a ship departing for Earth. Before boarding the ship the player battles two Predators, after which the Alien enters the Earth-bound shuttle.When playing as the Colonial Marine, the player begins at a research station on LV-426 built to study the derelict spacecraft where the Nostromo crew first encountered the Alien eggs in the film Alien (1979). Aliens attack and the player must fight their way through the research facility, the derelict ship, and an adjoining colony. Next the player explores the atmosphere processing station and shuts down its cooling valves in order to cause an explosion which will wipe out the Aliens. The player character escapes in a drop ship and travels to Odobenus Station in orbit above the planetoid, where they battle more Aliens, Predators, facehuggers, and cybernetically-enhanced Aliens until reaching the spaceship Tyrargo. Aboard the ship the player battles more enemies including an Alien/Predator hybrid and praetorian Aliens. The player then battles an Alien queen, defeating it by expelling it through the airlock.The Predator character's storyline visits three different planets, beginning with the player hunting marines in order to recover a captured Predator ship and its occupant from a human military base. Aliens are accidentally released in the base and the player discovers that the humans have created an Alien/Predator hybrid by implanting the captured Predator with an Alien embryo. The player defeats the hybrid, triggers the facility's self-destruct mechanism, and escapes in the Predator ship. The player next visits Fiorina Fury 161, the prison planet that is the setting of Alien 3 (1992), where more Aliens and marines are battled. Finally the player visits a marine-controlled Alien habitat, battling cybernetically-enhanced Aliens, praetorian Aliens, and finally the Alien Queen.",[5]
Aliens versus Predator 2,2001,Third Law Entertainment,Sierra Entertainment,594,"The sequel to one of the most frightening games ever made, Aliens vs. Predator 2 takes you to Planet LV1201, where three diverse and bloodthirsty species battle for survival. The story-driven plot weaves together the fates of all three races, while the action is as heart-stopping as the blockbuster films on which it is based. Choose to play as Alien, Predator, or Marine as you use your physical prowess, killer instincts, or superior firepower to stay alive.",,[5]
Aliens versus Predator Classic 2000,2010,Rebellion Developments,Rebellion Developments,14818,"Aliens Versus Predator Classic 2000 features the Colonial Marine, Alien and Predator Campaigns and the frenetic single-player Skirmish mode from the original title: Alien Versus Predator Gold Edition, which was released to massive acclaim in 2000.Alien Versus Predator Classic 2000 has been updated to run on modern PCs and laptops using DirectX 9.0c and includes support for Xbox 360 Controller for Windows.The three most ferocious species in the universe in a bloodthirsty battle for the ultimate prize: survival. Take your pick: be a Colonial Marine, a Predator or an Alien. Fight through suspense-filled environments: from starships and space stations to colonial bases and eerie planetscapes. One wrong move turns you from hunter to prey.Three campaigns: Colonial Marine, Alien and Predator and includes all the levels from the original AvP Gold Edition plus the Millennium Expansion Pack.",,[5]
Aliens vs. Predator,2010,Rebellion Developments,Sega,560,"Bringing the legendary war between two of science-fiction's most popular characters to FPS fans, AvP delivers three outstanding single player campaigns and provides untold hours of unique 3-way multiplayer gaming.Experience distinctly new and thrilling first person gameplay as you survive, hunt and prey in the deadly jungles and swamps surrounding the damned colony of Freya's Prospect. As the Marine, you'll experience a claustrophobic and terrifying experience where light is your friend, but there's never enough. However, the United States Marine Corps are humanity's last line of defense, and as such they are armed to the teeth with the very latest in high explosive and automatic weaponry.As the Predator, you will stalk from the shadows and from above, passing athletically through the treetops to ambush your victims. Although equipped with an array of powerful, exotic weapons and tracking equipment, honor ultimately dictates that you must get in close and take your trophies face to face.As the most deadly species in the universe, the Alien offers you the chance to play as the very stuff of nightmares - the monster in the dark swarming forward with countless others, jaws like a steel trap and claws like blades.Play all sides off against each other in a series of unique 3-way online modes and go tooth-to-claw-to-pulse rifle in the reinvention of one of multiplayer gaming's defining moments.",,[5]
Aliens: Colonial Marines,2010,Gearbox Software,Sega,1021,"Buckle up, soldier! Welcome to Aliens™: Colonial Marines. Created by Gearbox, the critically acclaimed and fan-favorite developers of Borderlands and Brothers In Arms, you and your friends will become the most badass military outfit in the galaxy – the US Colonial Marines. It’s up to you to not just survive, but wipe out the Xeno infestation.","17 weeks after the events of Aliens, a full battalion of Colonial Marines travels to LV-426 aboard the USS Sephora in response to a distress call sent by Corporal Dwayne Hicks. Upon arrival, the Sephora docks with the USS Sulaco, now somehow in orbit around LV-426 despite last being sighted above Fiorina Fury 161, and sends Marines aboard to investigate. A massive Xenomorph infestation is discovered inside the ship and several Marines are killed in the initial onslaught. While investigating the ship, Corporal Winter, Private O'Neal and Private Bella Clarison discover Weyland-Yutani PMCs are now in command of the Sulaco and have been breeding Xenomorphs on board for study.The hostile corporate mercenaries attack the Sephora using the Sulaco's weaponry and both ships are destroyed after the Sephora retaliates. Winter, O'Neal, Bella, their commander Captain Cruz, Sephora android Bishop and pilot Lieutenant Reid escape aboard Reid's dropship and take shelter in the ruins of the Hadley's Hope colony complex on LV-426, which now lies almost completely destroyed after the detonation of its Atmosphere Processing Plant. Cruz orders all remaining Colonial Marine survivors to gather at the colony, in the hope of holding out until a rescue arrives. While investigating the ruins of the colony, Winter discovers Xenomorphs that only react to sound and movement and attack by suicidally exploding, as well as the corpse of Sulaco Marine Private Hudson.With their position as secure as they can hope to make it, Cruz orders Winter to travel to a nearby Weyland-Yutani research facility set up near the derelict ship and recover a manifest that identifies an unknown prisoner the company has captured, apparently a survivor from the Sulaco. It transpires that Bella is impregnated with a Chestburster, and in an attempt at saving her, Winter and O'Neal accept the mission and escort Bella to the facility, where they intend to convince surviving personnel to remove the embryo. However, upon arrival, an interrogated Weyland-Yutani medical officer explains to them that Bella's life cannot be saved since, even if the embryo is successfully extracted, the creature's invasive placenta is cancerous and will kill her anyway. Bella dies when the Chestburster hatches while she is saying goodbye to Winter and O'Neal.Winter and O'Neal recover the manifest they were sent to find and rescue the prisoner, revealed to be Corporal Hicks, who explains that Weyland-Yutani intercepted and boarded the Sulaco prior to its arrival at Fiorina 161. A fire in the hypersleep bay subsequently caused Ripley, Newt and Lance Bishop to be jettisoned from the ship in an EEV, along with the body of an unidentified man who was mistaken for the Corporal. Hicks himself was captured by Weyland-Yutani personnel and subjected to torture during interrogation, overseen by Michael Weyland in an attempt to learn more about the Xenomorphs' origins and to gain control of the Sulaco's weapon systems.From Hicks, the Marines on LV-426 learn that an FTL-capable ship is docked at the research facility, representing the last chance for the survivors to escape the moon. After gathering the remaining Sephora personnel and fighting off a Xenomorph attack on the colony, Captain Cruz orders an all-out assault on the Weyland-Yutani complex in the hopes of capturing the FTL vessel. Winter and Hicks spearhead the advance, but the ship leaves minutes before they can reach it. In a last desperate attempt, Cruz pilots a dropship up to the escaping vessel and crashes into its hangar. Winter is confronted by the Xenomorph Queen in the hangar bay, and attempts to eject her using a cargo launching system, but fails when she climbs back aboard. Cruz sacrifices himself when he launches the crippled dropship directly into the Queen, propelling both out into the upper atmosphere of LV-426.Winter, O'Neal, Reid, Bishop and Hicks find and confront Michael Weyland, but Hicks deduces he is merely an android double left behind as a decoy and summarily executes him. In search of useful intelligence, Bishop connects to the destroyed android's CPU and states that he has everything, setting the stage for further confrontation between the Colonial Marines and the Weyland-Yutani Corporation.",[5]
Allegiance,2000,Microsoft Research,Microsoft,595,"Allegiance is a multiplayer space combat sim originally developed by Microsoft that offers the action of ship-to-ship combat. From small, agile scouts to massive destroyers, you not only fly but also man the turrets. With real-time strategy components such as fully upgradeable tech and massive multiplayer capability, Allegiance stands at the forefront of online interstellar combat.",,"[11, 13, 15]"
Alliance of Valiant Arms,2007,Red Duck,"Neowiz, NHN USA",16253,"A.V.A. is a free-to-play, team-based, military shooter that plunges you into the middle of a world at war. Fight in brutal 5 vs 5 combat across dozens of maps wielding authentic military weapons. Side with the European Union (E.U.) or the Neo-Russian Federation (N.R.F.) to determine control of the battlefield. Test your skills against your friends and see if you have what it takes to come out on top!",,[5]
Allied General,1995,Strategic Simulations,Strategic Simulations,14427,"Imagine that you are an Allied General. You are the commander of the Allied troops in Europe during World War II, and are the best hope of defeating the Axis forces which have captured Europe and North Africa. Use your strategic knowledge in performing daring invasions, paradrops, naval engagements, and fierce aerial combat for control of the skies. Can you lead and command your units through North Africa, Western Europe, Russia, and ultimately to victory? Glory awaits!",,[16]
Alone in the Dark,2008,Eden Games,Atari,1958,"The game that started the popular survival horror genre returns better than ever! Players control Edward Carnby, the main character from the original Alone in the Dark, on a thrilling journey through a dark and terrifying re-creation of New York's Central Park where Carnby must discover the truth behind a dark conspiracy.With inspiration from the presentation style of popular action TV dramas, Alone in the Dark will be split into a number of distinct episodes. With approximately 30-40 minutes of gameplay comprising each episode, the structure of Alone in the Dark pulls you into world that delivers a fiercely gripping and terrifying experience. Each time the player launches a saved game, the episode will begin with a video summary of the previous episode to quickly re-immerse the player in the story and removing the need to remember where they were or what they were doing. Every episode will close with a nail-biting cliff-hanger ending to rattle players' nerves, and if the player is leaving the game a video teaser of the next episode will play to leave them wanting more.Alone in the Dark will provide a complete next-generation, action packed experience within a highly detailed, free roaming environment, featuring a mixture of real-time physics and full environmental interaction. The game will mark a new beginning for the Alone in the Dark series.The PlayStation 3 version, titled Alone in the Dark: Inferno, was released in November 2008 and includes several enhancements from the other versions",,"[5, 9, 31]"
Alone in the Dark: The New Nightmare,2001,Darkworks,Infogrames,1960,"Alone in the Dark: The New Nightmare, alternatively known as Alone in the Dark 4, is the fourth installment of the survival horror video game series Alone in the Dark, developed by Darkworks and published by Infogrames. The game was released in 2001 in North America and Europe on several platforms including Microsoft Windows, PlayStation, Dreamcast, and Game Boy Color. The PlayStation 2 version of the game was released only in Europe. It was followed in 2008 by Alone in the Dark. As of October 29, 2013, the game was released on Steam.","Set on October 31, 2001. Edward Carnby's best friend and partner, Charles Fiske, has been found dead off the coast of Shadow Island, a mysterious island near the coast of Massachusetts. Carnby's investigation quickly leads him to Frederick Johnson, who informs him of Fiske's search for three ancient tablets with the ability to unlock an incredible and dangerous power. Johnson pleads with Carnby to take the place of Fiske and reopen the investigation in order to recover the tablets. Carnby accepts and makes it his mission to find Fiske's killer. Johnson introduces Edward to Aline Cedrac, an intelligent, young university professor. She joins Edward to recover the missing tablets and assist Professor Obed Morton, who she believes to be her father. While flying over the coast of Shadow Island, Edward and Aline's plane comes under attack by an unknown creature. Edward and Aline both jump out of the plane and parachute to the ground, but are separated immediately. Edward lands in the dense forest just outside a manor, while Aline lands on the roof of said manor.","[9, 31]"
Alpha Prime,2007,Black Element Software,"Idea Games, Meridian4",9173,"Somewhere in deep space, at an apparently abandoned mining base on the asteriod Alpha Prime, something has gone terribly wrong. Miners were warned that the hubbardium they were mining was too dangerous, but the lure of unimaginable wealth was too strong. Now, something has happened to them and it's up to you to save them and face an unknown threat.					Equipped with a surplus of advanced weapons and devices--including a variety of robots and manipulators, surveillance cameras and security systems that can be hacked, controlled and used to complete your task--your mission is simple: Get in, get 'em, and get out!					10 levels of fast-paced, unrelenting action including mining station, spaceship hangar, magnetic railway or asteroid surface					Non-playable characters aid you in your mission to save the miners and get off the asteroid					Countless enemies including Special Forces soldiers, robots and deranged miners					8 futuristic weapons including pistols, shotguns, machine guns, grenades…					Vehicles can be used to move to different locations quickly					Hack into devices including robots, surveillance cameras, security systems, doors, etc.					Bullet time allows players to temporarily slow down the action and get the upper hand					Compatible with Matrox TripleHead2Go™, enabling gamers to connect 3 screens",,[5]
Alpha Protocol,2009,Obsidian Entertainment,Sega,2539,"A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.","Loyalty carries a price and no one knows this more than agent Michael Thorton. A talented young agent cast out by his government, Thorton is the only one with the information needed to stop an impending international catastrophe. To do so means he must cut himself off from the very people he is sworn to protect. As players determine how to accomplish different objectives, the decisions made and actions taken in each mission will ultimately transform the type of secret agent Michael Thorton will become. Every choice the player makes as Michael Thorton will carry consequences for his future and the fate of the world.","[5, 12]"
Alvin and the Chipmunks,2007,Sensory Sweep Studios,Brash Entertainment,4669,"Alvin and the Chipmunks is a video game based on the film of the same name. It follows The Chipmunks as they play their way from small venues (such as a high school prom or a civic center) to massive crowds at Burning Munk and ultimately Rockathonapalooza. The soundtrack features 40 popular songs, including ""All the Small Things"" by Blink-182, ""It's Tricky"" by Run-D.M.C., and ""Heartbreak Hotel"" by Elvis Presley. The gameplay itself is similar to other rhythm games such as Rock Band and Guitar Hero. Jason Lee reprise his role as David Seville in the story cutscenes while Ross Bagdasarian Jr. and Janice Karman reprise their roles from the 1980s-2000's cartoons.",,"[7, 9]"
The Amazon Trail,1996,MECC,MECC,2306,"Amazon trail is an educational adventure game. You venture back through time to meet the Inca king and deliver him the cinchona plant together with many valuable gifts. The knowledge of the rain forest is the key to successes. Your main goal is to survive the journey and, if possible, bring as many additional gifts to the Inca king.",,"[13, 31]"
Amazon Trail II,1996,MECC,MECC,65850,"The sequel to Amazon Trail, the player continues their trip down the Amazon River.",,[]
Amazon Trail 3rd Edition,1998,MECC,The Learning Company,69959,"Despite the title, Amazon Trail 3rd Edition: Rainforest Adventures is a remake of Amazon Trail II. The title was developed and published by The Learning Company, a company that specializes in educational software for children. An adventure title, the player navigates the Amazon River, and through time travel, meets several figures in history, and learns how their influence shapes the region today.",,"[13, 31]"
Amber: Journeys Beyond,1996,Hue Forest Entertainment,Hue Forest Entertainment,12390,"AMBER is short for Astral Mobility by Electromagnetic Resonance device invented by a promising scientist in the field of paranormal activities, Dr. Roxanna. In order to conduct the experimental testings of the device she secludes herself into an abandoned mansion, rumored to be haunted by ghosts and spirits. In her research Roxanna confirms those rumors, however, fails to respond on numerous phone calls. Her friend, Joe, presumes that something might has happened to her and asks you, the player, to investigate.","The protagonist have come home from work and check your e-mail. It seems that your friend Dr. Roxanne (Roxy) Westbridge has recently purchased a reportedly haunted house in North Carolina and is performing paranormal tests there. A friend of yours asks you to check on her, as he is worried that she may be too hasty with the still undeveloped ghost hunting equipment. You drive to the house by means of the highway and then a long dirt road leading to it. Suddenly, in the middle of the road an apparition appears as you are turning left to follow the road. You swerve to the right to avoid the ghostly shape and end up buried in the nearby pond. As you emerge soaking wet from the pond, you explore the garage and house. Roxy appears to be unconscious in the garage with a device on her head and the house has no electricity. After restoring electricity, and exploring inside the house you discover that Roxy has several types of ghost hunting equipment: surveillance cameras, the BAR (Bulbic Activity Reader), a doorknob sensor which detects spiritual residue in doorknobs, the PeeK, a pocket television-like device which allows the user to listen to the sounds in the doorknobs, and works with the BAR and cameras to observe spiritual activity from a safe distance, and the AMBER (Astral Mobility By Electromagnetic Resonance) headset device itself, which allows the user to actually enter the minds of ghosts to discover what they are thinking and seeing and to remind them of who they are so they may ascend. The last device is still in the testing phase and its use is considered to be very risky. Apparently Roxy's spirit is lost somewhere while she was attempting to use the AMBER device.","[2, 31]"
American Conquest,2003,GSC Game World,CDV,596,"American Conquest: In the year 1492, travel to America as Christopher Columbus and ignite the fire that will fan 300 years of heated battles for land, riches, and freedom. In eight historical campaigns spanning 42 missions, you will take on the roles of great legends such as Francisco Pizarro and George Washington. Secure new technologies, unique weaponry, and improved fighting units, but also master the delicate world of diplomacy. Play with fire! Conquer America.",,"[11, 13, 15]"
American Idol,2003,Hothouse Creations,Codemasters,6304,"Complete with a computer generated Randy Jackson, Paula Abdul, and Simon Cowell, with trademark insults, American Idol is a music-based, rhythm-action game that will allow you to create, style, and train a contestant for the competition. Once styled and trained you'll see your contestant progress through the auditions, various heats, and then, hopefully, make it to the grand final. You'll need quick fingers as you match the right combination of buttons to what's displayed on the screen helping your contestant sing a sweet harmony and dance to the rhythm of the song. Get it wrong and your voice fades and goes out of tune as the judges and later the audience grow unsettled.",,[7]
American McGee's Alice,2000,Rogue Entertainment,Electronic Arts,337,"Shortly after her second adventure, Through the Looking-Glass, Alice's house is burnt down by an accidental fire, killing her family and leaving her as the only survivor. As time progresses Alice loses touch with reality. She is institutionalized in Rutledge Asylum, where she is observed and treated by Dr. Heironymous Wilson. Alice's only possession in Rutledge is a stuffed rabbit. Ten years after Alice was committed to Rutledge, she finds herself sucked back into a Wonderland that has been twisted by her own broken mind. The White Rabbit summons Alice to aid a radically altered Wonderland, which became a twisted version of itself as it came under the horrible rule of the Queen of Hearts. The Cheshire Cat serves as Alice's companion throughout the game, frequently appearing to guide her with cryptic comments.",,"[8, 9, 31]"
American McGee's Grimm,2008,Spicy Horse,Turner Broadcasting System,16678,"Experience an incredible adventure built around the world's best-known fairy tales. As Grimm, you will transform the classic tales of Little Red Riding Hood, Cinderella, Jack and the Beanstalk, and more of your favorites into darkly twisted Grimm versions of themselves in 23 episodes. Each game episode is centered around one of the world's best-known fairy tales and provides 30 minutes of gameplay. Each episode is a complete, standalone experience and the episodes can be played in any order.","Once upon a time, fairy tales were valuable cautionary yarns filled with dire warnings and sage advice. However, over time, the stories have become so watered down with cute woodland creatures and happy endings that they have lost their true meaning and purpose. No more! This is American McGee's Grimm, and Happily Ever After ends now!",[32]
Amerzone,1999,Microids,Casterman,11091,"You are a journalist summoned by an aged explorer who has been ""branded"" with questionable credibility for over 50 years. The old explorer's tale tells of traveling to the mysterious Central American country, called Amerzone. His story claims that the large egg that he brought back was associated with native Indian tribal beliefs and rituals involving the proliferation of great white birds that fly continuously from the time that they are born and never land seems incredible. But curiosity and the opportunity for a good story will probably get the best of you...",,[31]
Amnesia: A Machine for Pigs,2013,The Chinese Room,Frictional Games,1882,From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed power and madness. It will bury its snout into your ribs and it will eat your heart.,"The year is 1899. Wealthy industrialist Oswald Mandus awakes in his bed, wracked with fever and haunted by dreams of a dark and hellish engine. Tortured by visions of a disastrous expedition to Mexico, broken on the failing dreams of an industrial utopia, wracked with guilt and tropical disease he wakes into a nightmare. The house is silent, the ground beneath himshaking at the will of some infernal machine: all he knows is that his children are in grave peril, and it is up to him to save them.","[9, 31, 32]"
Amnesia: The Dark Descent,2010,Frictional Games,Frictional Games,111,"Amnesia: The Dark Descent is a survival horror video game by Frictional Games. The game features a protagonist named Daniel exploring a dark and foreboding castle, while trying to maintain his sanity by avoiding monsters and other terrifying obstructions. The game was critically well received.","The game, set in 1839, casts the player in the role of Daniel, a young man from London, who awakens in the dark halls of Prussian Brennenburg Castle with little to no memory about himself or his past. All he can remember is his name, that he lives in Mayfair and that something is hunting him. Shortly after waking, Daniel finds a note written by himself that explains how he purposely made himself forget his past, because he couldn't handle losing his innocence, so he wanted to forget it all. The note urges Daniel to descend into the castle's Inner Sanctum and murder a man named Alexander , the baron of the castle. The note gives a final warning that a living nightmare is chasing him, and Daniel must escape it for as long as he can because there is no way to fight back.","[9, 31, 32]"
Amok,1996,Lemon,"Scavenger, Koei, Tec Toy",95404,,,"[5, 31]"
Anachronox,2001,Ion Storm,"Eidos Interactive, Infogrames",5622,"The game takes place on Anachronox, a small planet floating inside a huge artificial sphere known as Sender One.",,[12]
Anacreon: Imperial Conquest in the Far Future,2004,Thinking Machine Associates,Thinking Machine Associates,57582,,,[15]
