titles,released,developers,publishers
Slot! Pro Dx: Fujiko 2,27-02-2003,Heiwa Corporation,Nippon Telenet
Slotter UP Core,10-07-2003,Aristocrat Leisure,Dorart
Slotter UP Core 10: Mach GoGoGo2,24-04-2008,Aristocrat Leisure,Dorart
Slotter UP Core 11: Kyoujin no Hoshi IV,26-03-2009,Aristocrat Leisure,Dorart
Slotter UP Core 12: PinPon,02-12-2010,Aristocrat Leisure,Dorart
Slotter UP Core 2,24-07-2003,Aristocrat Leisure,Dorart
Slotter UP Core 3,17-06-2004,Aristocrat Leisure,Dorart
Slotter UP Core 4: Don-chan Gekiuchi! Jissen Pachi-Slot Ore Izuma,21-10-2004,Aristocrat Leisure,Dorart
Slotter UP Core 5,25-11-2004,Aristocrat Leisure,Dorart
Slotter UP Core 6,27-01-2005,Aristocrat Leisure,Dorart
Slotter UP Core 7: Dekitou da! Street Fighter II,16-06-2005,Aristocrat Leisure,Dorart
Slotter UP Core 8: Kyojin no Hoshi III,22-12-2005,Aristocrat Leisure,Dorart
Slotter UP Core 9,02-11-2006,Aristocrat Leisure,Dorart
Slotter UP Core Alpha,04-12-2003,Aristocrat Leisure,Dorart
Slotter UP Mania,24-04-2003,Pioneer,Dorart
Slotter UP Mania 10: Pioneer Special III,22-05-2008,Pioneer,Dorasu
Slotter UP Mania 11: 2027 vs 2027 II,15-10-2009,Trade,Dorasu
Slotter UP Mania 2,11-09-2003,Kitadenshi,Dorasu
Slotter UP Mania 3,18-12-2003,EMA,Dorasu
Slotter UP Mania 4,26-02-2004,Pioneer,Dorasu
Slotter UP Mania 5,28-10-2004,Aristocrat Leisure,Dorasu
Slotter UP Mania 6,26-05-2005,Pioneer,Dorasu
Slotter UP Mania 7,01-09-2005,Pioneer,Dorasu
Slotter UP Mania 8,29-09-2005,Kitadenshi,Dorasu
Slotter UP Mania 9,27-12-2007,EMA,Dorasu
Sly 2: Band of Thieves•Kaitou Sly Cooper 2JP,14-09-2004,Sucker Punch Productions,Sony Computer Entertainment
Sly 3: Honor Among Thieves,26-09-2005,Sucker Punch Productions,Sony Computer Entertainment
Sly Cooper and the Thievius Raccoonus,23-09-2002,Sucker Punch Productions,Sony Computer Entertainment
Smarties: Meltdown,17-03-2006,EM Studios,Koch Media
Smash Cars•Buggy Grand Prix: Kattobi! Dai-SakusenJP,13-08-2003,Creat Studios,"Metro3DEU,NA, PsikyoJP"
Smash Court Tennis Pro Tournament•Smash Court Pro TournamentJP,07-02-2002,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
"Smash Court Tennis Pro Tournament 2•Smash Court Pro Tournament 2JP,KO",28-05-2004,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Smuggler's Run•Crazy Bump's: Kattobi Car BattleJP,25-10-2000,Angel Studios,"Rockstar GamesEU,NA, SyscomJP"
Smuggler's Run 2: Hostile Territory,30-10-2001,Angel Studios,Rockstar Games
The Sniper 2•Simple 2000 Series Vol. 16 – The Sniper 2: Akuma no JuudanJP,28-11-2002,Best Media,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Sniper Assault,20-04-2007,Phoenix Games,Phoenix Games
Sniper Elite,30-09-2005,Rebellion Developments,"MC2 FranceEU, NamcoNA"
SNK Arcade Classics Vol. 1,05-05-2008,SNK Playmore,"SNK PlaymoreKO,NA, Ignition EntertainmentPAL"
SNK Slot Panic Kyuuji,21-12-2006,SNK Playmore,SNK Playmore
SnoCross 2: Featuring Blair Morgan,19-04-2006,Sensory Sweep Studios,"Oxygen GamesPAL, Crave EntertainmentNA"
Snoopy vs. the Red Baron,24-10-2006,Smart Bomb Interactive,Namco Bandai Games
Snow,26-02-2004,HuneX,Interchannel
The Snow Queen Quest,16-02-2007,Broadsword Interactive,Oxygen Games
Snow Rider,06-10-2006,Phoenix Games,Phoenix Games
Snow White and the 7 Clever Boys,15-12-2006,Phoenix Games,Phoenix Games
Snowboard Heaven,16-11-2000,Capcom,Capcom
Snowboard Racer 2•Simple 2000 Series Vol. 6: The SnowboardJP,25-07-2002,Atelier Double,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Soccer America: International Cup•Greatest StrikerJP•International League SoccerEU,02-12-2000,Taito,"TaitoJP, Eon Digital EntertainmentEU, Hot-BNA"
Soccer Kantoku Saihai Simulation: Formation Final,18-09-2003,Konami,Konami
Soccer Life!,26-02-2004,Cavia,"BanprestoJP, 505 Game StreetEU"
Soccer Life 2,09-06-2005,Cavia,"BanprestoJP, 505 Game StreetEU"
Soccer Mania•Football ManiaEU,17-06-2002,Silicon Dreams Studio,"Lego ManiaNA, Electronic ArtsEU"
Soccer Tsuku 2002: J.League Pro Soccer Club o Tsukurou!,07-03-2002,Smilebit,Sega
SOCOM: U.S. Navy SEALs,27-08-2002,Zipper Interactive,Sony Computer Entertainment
SOCOM II: U.S. Navy SEALs,04-11-2003,Zipper Interactive,Sony Computer Entertainment
SOCOM 3: U.S. Navy SEALs,11-10-2005,Zipper Interactive,Sony Computer Entertainment
SOCOM U.S. Navy SEALs: Combined Assault,07-11-2006,Zipper Interactive,Sony Computer Entertainment
Sokudoku Master,19-10-2006,Magnolia,Magnolia
Sol Divide,03-03-2006,Psikyo,505 Game Street
Soldier of Fortune: Gold Edition,11-11-2001,Pipedream Interactive,Majesco Entertainment
Son of The Lion King,06--2006,Phoenix Games,Phoenix Games
Sonic Gems Collection,11-08-2005,Sonic Team,Sega
Sonic Heroes,30-12-2003,Sonic Team,Sega
Sonic Mega Collection Plus,02-11-2004,Sonic Team,Sega
Sonic Riders,21-02-2006,Sonic Team,Sega
Sonic Riders: Zero Gravity,08-01-2008,Sonic Team,Sega
Sonic Unleashed,18-11-2008,Sonic Team,Sega
The Sopranos: Road to Respect,07-11-2006,7 Studios,THQ
Sorairo no Fuukin Remix,07-07-2005,PrincessSoft,PrincessSoft
Sorayume,19-06-2008,Takuyo,Takuyo
Soshite Bokura wa... And He Said,30-06-2005,Interchannel,Interchannel
Soshite Kono Sora ni Kirameku Kimi no Uta,25-05-2006,Datam Polystar,Datam Polystar
Soshite Kono Sora ni Kirameku Kimi no Uta XXX,22-02-2007,Datam Polystar,Datam Polystar
Sotsugyou 2nd Generation,09-03-2006,GeneX,GeneX
Soukoku no Kusabi: Hiiro no Kakera 3,07-08-2008,Idea Factory,Idea Factory
Soukou Kihei Votoms,15-11-2007,Yuke's,Bandai Namco Games
Soul Eater: Battle Resonance,29-01-2009,BEC,Bandai Namco Games
Soul Link Extension,29-06-2006,Examu,Interchannel
Soul Nomad & the World Eaters•Soul Cradle: Sekai o Kurau MonoJP,15-02-2007,Nippon Ichi Software,"Nippon Ichi SoftwareJP,NA, KoeiPAL"
Soul Reaver 2,31-10-2001,Crystal Dynamics,Eidos Interactive
Soulcalibur II,27-03-2003,Namco,Namco
Soulcalibur III,25-10-2005,Namco,Namco
Sōsei no Akuarion,30-06-2005,Sting,Bandai
Soutenryuu: The Arcade,27-03-2003,Taito,DigiCube
Space Channel 5,15-03-2002,UGA,"SegaJP, Sony Computer EntertainmentEU"
Space Channel 5: Part 2,14-02-2002,UGA,"SegaJP, Sony Computer EntertainmentEU"
Space Chimps,15-07-2008,Red Tribe,Brash Entertainment
Space Fishermen,24-10-2002,Land Ho!,Sony Computer Entertainment
Space Invaders Anniversary,31-07-2003,Taito,"TaitoJP, Empire InteractiveEU"
Space Invaders: Invasion Day•Space RaidersJP•Simple 2000 Series Vol. 52: The Chikyuu Shinryokugun: Space RaidersJP,19-12-2002,Taito,"TaitoJP, Sammy StudiosEU, D3 PublisherJP"
Space Race,08-02-2002,Infogrames Melbourne House,Infogrames
Space Rebellion,08-12-2006,Phoenix Games,Phoenix Games
Space Venus Starring Morning Musume,11-01-2001,Sony Music Entertainment,Sony Music Entertainment
Space War Attack•Simple 2000 Series Vol. 78: The Uchuu DaisensouJP,26-05-2005,Bit Town,"D3 Publisher, 505 Game Street"
Spartan: Total Warrior,07-10-2005,The Creative Assembly,Sega
Spawn: Armageddon,21-11-2003,Point of View,"NamcoJP,NA, Electronic ArtsEU"
Special Forces•Simple 2000 Series Vol. 108: The Nippon TokushubutaiJP,14-09-2006,Vingt-et-un Systems,"D3 PublisherJP, Essential GamesEU"
Spectral Force Chronicle,28-04-2005,Neverland,Idea Factory
Spectral Force: Radical Elements,16-09-2004,Neverland,Idea Factory
Spectral Gene,13-12-2007,Neverland,Idea Factory
Spectral Souls,30-10-2003,Neverland,Idea Factory
Spectral vs Generation,20-04-2006,Idea Factory,"Idea FactoryJP, Midas Interactive EntertainmentPAL"
Speed Challenge: Jacques Villeneuve's Racing Vision,22-11-2002,Ubisoft Bucharest,Ubisoft
Speed Kings,28-05-2003,Climax Studios,Acclaim Entertainment
Speed Machines III,06--2006,Phoenix Games,Phoenix Games
Speed Racer,16-09-2008,Sidhe Interactive,Warner Bros. Interactive
Speedboat GP,06--2006,Phoenix Games,Phoenix Games
Sphinx and the Cursed Mummy,10-11-2003,Eurocom,THQ
Spider-Man,16-04-2002,Treyarch,"ActivisionEU,NA, CapcomJP"
Spider-Man 2,28-06-2004,Treyarch,"ActivisionEU,NA, TaitoJP"
Spider-Man 3,04-05-2007,Vicarious Visions,Activision
Spider-Man: Friend or Foe,02-10-2007,Next Level Games,Activision
Spider-Man: Web of Shadows – Amazing Allies Edition,21-10-2008,Amaze Entertainment,Activision
The Spiderwick Chronicles,05-02-2008,Stormfront Studios,Sierra Entertainment
SpinDrive Ping Pong•Fukuhara Ai no Takkyu IcchokusenJP,24-06-2004,Success,"Success, Empire Interactive"
Splashdown,05-11-2001,Rainbow Studios,Infogrames
Splashdown – Rides Gone Wild,05-08-2003,Rainbow Studios,THQ
Splatter Master•Simple 2000 Series Vol. 64: The Splatter ActionJP,14-10-2004,Vingt-et-un Systems,"D3 PublisherJP, 505 Game StreetEU"
SpongeBob SquarePants: Battle for Bikini Bottom,31-10-2003,Heavy Iron Studios,THQ
SpongeBob SquarePants: Creature from the Krusty Krab•SpongeBobJP,16-10-2006,Blitz Games,THQ
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,20-10-2008,Incinerator Studios,THQ
"SpongeBob SquarePants: Lights, Camera, Pants!",21-10-2005,THQ Studio Australia,THQ
The SpongeBob SquarePants Movie,27-10-2004,Heavy Iron Studios,THQ
SpongeBob SquarePants: Revenge of the Flying Dutchman,21-11-2002,Big Sky Software,THQ
SpongeBob's Atlantis SquarePantis,23-10-2007,Blitz Games,THQ
Springdale: Riding Adventures,26-03-2010,Hidden Entertainment,PAN Vision
Sprint Car Challenge,16-08-2005,Liquid Games,Liquid Games
Sprint Cars 2: Showdown at Eldora,11-03-2008,Big Ant Studios,THQ
Sprint Cars: Road to Knoxville,26-07-2006,Big Ant Studios,THQ
Spy Fiction,25-12-2003,Access Games,"Access GamesJP, Sammy StudiosNA, SegaEU"
Spy Hunter,24-09-2001,Paradigm Entertainment,Midway Games
Spy Hunter 2,24-11-2003,Angel Studios,Midway Games
Spy Hunter: Nowhere to Run,05-09-2006,Terminal Reality,Midway Games
Spy vs. Spy,29-04-2005,Vicious Cycle Software,Global Star Software
Spyro: A Hero's Tail,09-11-2004,Eurocom,"Vivendi Universal GamesNA, Sierra EntertainmentPAL"
Spyro: Enter the Dragonfly,05-11-2002,Check Six Games,Universal Interactive
SSX•X-treme Racing SSXJP,26-10-2000,EA Canada,EA Sports BIG
SSX 3,20-10-2003,EA Canada,EA Sports BIG
SSX on Tour,11-10-2005,EA Canada,EA Sports BIG
SSX Tricky,05-11-2001,EA Canada,EA Sports BIG
Stacked with Daniel Negreanu•StackedPAL,31-05-2006,5000 ft Inc.,Myelin Media
Standard Daisenryaku: Dengekisen,11-11-2004,SystemSoft Alpha,Sammy Studios
Standard Daisenryaku: Shiwareta Shouri,02-06-2005,SystemSoft Alpha,Sammy Studios
Star Ocean: Till the End of Time•Star Ocean 3: Till the End of TimeJP,27-02-2003,tri-Ace,"Square EnixJP,NA, UbisoftPAL"
Star Soldier,27-11-2003,Hudson Soft,Hudson Soft
Star Trek: Conquest,20-11-2007,4J Studios,"Bethesda SoftworksNA, Koch MediaEU"
Star Trek: Encounters,04-10-2006,4J Studios,"Bethesda SoftworksNA, UbisoftEU"
Star Trek: Shattered Universe,13-01-2004,Starsphere Interactive,"TDK MediactiveNA, Global Star SoftwareEU"
Star Trek: Voyager – Elite Force,06-12-2001,PipeDream Interactive,"Majesco EntertainmentNA, CodemastersEU"
Star Wars: Battlefront,20-09-2004,Pandemic Studios,"LucasArtsEU,NA, Electronic ArtsJP"
Star Wars: Battlefront II,31-10-2005,Pandemic Studios,"LucasArtsEU,NA, Electronic ArtsJP"
Star Wars: Bounty Hunter•Star Wars: Jango FettJP,19-11-2002,LucasArts,"LucasArtsEU,NA, Electronic ArtsJP"
Star Wars: The Clone Wars,10-12-2002,Pandemic Studios,LucasArts
Star Wars: The Clone Wars – Republic Heroes,06-10-2009,Krome Studios,LucasArts
Star Wars Episode III: Revenge of the Sith•Star Wars Episode III: Sith no FukushuuJP,04-05-2005,The Collective,"LucasArtsEU,NA, Electronic ArtsJP"
Star Wars: The Force Unleashed,16-09-2008,Krome Studios,"LucasArtsNA,PAL, ActivisionJP"
Star Wars: Jedi Starfighter,10-03-2002,LucasArts,"LucasArtsNA, ActivisionEU, Electronic ArtsJP"
Star Wars Racer Revenge,11-02-2002,Rainbow Studios,LucasArts
Star Wars: Starfighter,19-02-2001,LucasArts,"LucasArtsNA, ActivisionEU, Electronic ArtsJP"
Star Wars: Super Bombad Racing,23-04-2001,Lucas Learning,LucasArts
Starsky & Hutch,20-06-2003,Mind's Eye Productions,"Empire InteractiveEU, Gotham GamesNA"
StarTRain: Your Past Makes Your Future,29-11-2007,PrincessSoft,PrincessSoft
State of Emergency,12-02-2002,VIS Entertainment,Rockstar Games
State of Emergency 2•State of Emergency RevengeJP,14-02-2006,DC Studios,"SouthPeak GamesEU,NA, SpikeJP"
Steady x Study,25-03-2004,Idea Factory,Idea Factory
Stealth Force 2,24-10-2008,Midas Interactive Entertainment,Midas Interactive Entertainment
Stealth Force: The War on Terror,10-06-2005,Atomic Planet Entertainment,Midas Interactive Entertainment
Steam Express,01-12-2007,Phoenix Games,Phoenix Games
"Steambot Chronicles•Poncotsu Roman Daikatsugeki Bumpy TrotAS,JP,KO",30-06-2005,Irem,"IremAS,JP,KO, AtlusNA, 505 Game StreetPAL"
Steamboy,09-06-2005,SIMS,Bandai
Steel Dragon EX•Simple 2000 Series Vol. 37: The Shooting: Double ShienryuJP,23-10-2003,Warashi,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Stella Deus: The Gate of Eternity•Stella DeusJP,28-10-2004,Pinegrow,"AtlusJP,NA, 505 Game StreetEU"
Stepping Selection,04-03-2000,Jaleco,Jaleco
Stock Car Crash,28-04-2006,Brain in a Jar,Midas Interactive Entertainment
Stolen,01-04-2005,Blue 52,Hip Games
Strawberry Panic! Girls' School in Fullbloom,24-08-2006,MediaWorks,MediaWorks
Strawberry Shortcake: The Sweet Dreams Game,20-10-2006,EKO Software,The Game Factory
Street Boyz•Simple 2000 Ultimate Series Vol. 21: Kenka Joutou! Yankee BanchouJP,11-11-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
Street Cricket Champions,01-10-2010,Trine Games,Sony Computer Entertainment
Street Cricket Champions 2,29-09-2012,Trine Games,Sony Computer Entertainment
Street Dance,20-10-2006,Oxygen Games,Oxygen Games
Street Fighter III: 3rd Strike – Fight for the Future,19-07-2004,Capcom,Capcom
Street Fighter Alpha Anthology•Street Fighter Zero: Fighters GenerationJP,25-05-2006,Capcom,Capcom
Street Fighter EX3,04-03-2000,Arika,Capcom
Street Golfer•Simple 2000 Ultimate Series Vol. 12: Street GolferJP,27-06-2002,Polygon Magic,"D3 PublisherJP, 505 Game StreetEU"
Street Hoops,12-08-2002,Black Ops Entertainment,Activision
Street Mahjong Trans-Asakami 2,15-06-2000,Sunsoft,Sunsoft
Street Racing Syndicate,31-08-2004,Eutechnyx,"NamcoNA, CodemastersEU"
Street Warrior,12-01-2007,Phoenix Games,Phoenix Games
Stretch Panic•Freak OutEU•Hippa LindaJP,27-07-2001,Treasure,"Swing! EntertainmentEU, Conspiracy EntertainmentNA, Kadokawa GamesJP"
Strike Force Bowling,10-05-2004,LAB Rats Games,"Crave EntertainmentNA, Play It!EU"
Strike Witches: Anata to Dekiru Koto – A Little Peaceful Days,27-05-2010,Russel,Russel
Stuart Little 3: Big Photo Adventure,14-10-2005,Magenta Software,"Sony Computer EntertainmentEU, SegaNA"
Stunt GP,13-11-2001,Team17,Titus Software
Stuntman,25-06-2002,Reflections Interactive,Infogrames
Stuntman: Ignition,28-08-2007,Paradigm Entertainment,THQ
Stylish Mahjong Usagi•Simple 2000 Ultimate Series Vol. 22: Stylish Mahjong UsagiJP,09-12-2004,Warashi,D3 Publisher
Sub Rebellion•U: Underwater UnitJP,02-05-2002,Racjin,"IremJP, Metro3DEU,NA"
Sudoku•SuperLite 2000 Puzzle: SudokuJP,04-12-2003,Success,Success
The Suffering,09-03-2004,Surreal Software,Midway Games
The Suffering: Ties That Bind,26-09-2005,Surreal Software,Midway Games
Sugar + Spice! Anoko no Suteki na Nanimokamo,25-09-2008,Alchemist,Alchemist
Sugar Sugar Rune: Koimo Osharemo Pick-Up,15-12-2005,Bandai,Bandai
Suggoi! Arcana Heart 2,09-04-2009,Examu,AQ Interactive
Sui-Sui-Sweet,25-12-2003,Tactics,Starfish SD
Suigetsu Mayoi-Gokoro,28-10-2004,KID,KID
Suika A.S+ Eternal Name,30-08-2007,Circus,Sweets
Suikoden III•Gensō Suikoden IIIJP,11-07-2002,Konami,Konami
Suikoden IV•Gensō Suikoden IVJP,19-08-2004,Konami,Konami
Suikoden V•Gensō Suikoden VJP,23-02-2006,Konami,Konami
Suikoden Tactics•RhapsodiaJP,22-09-2005,Konami,Konami
The Suiri•Simple 2000 Series Vol. 67: The Suiri ~Soshite Daremo InakunattaJP,11-11-2004,Tomcat System,D3 Publisher
The Suiri: Aratanaru 20 no Jikenbo•Simple 2000 Series Vol. 17: The Suiri – Aratanaru 20 no JikenboJP,19-12-2002,Tomcat System,D3 Publisher
Suki Namono wa Suki Dakarashou Ganai!! First Limit & Target Nights: Sukisyo Episode #1 & #2,25-03-2004,Interchannel,Interchannel
Suki Namono wa Suki Dakarashou Ganai!! Rain: Sukisyo Episode #3,21-10-2004,Interchannel,Interchannel
Sukusuku Inufuku,05-08-2004,Video System,Hamster Corporation
The Sum of All Fears,31-05-2002,Red Storm Entertainment,Ubisoft
Summer Athletics,29-07-2008,49Games,"Conspiracy EntertainmentNA, DTP EntertainmentEU"
Summer Heat Beach Volleyball,01-07-2003,Acclaim Studios Cheltenham,Acclaim Entertainment
Summon Night 3,07-08-2003,Flight-Plan,Banpresto
Summon Night 4,30-11-2006,Flight-Plan,Banpresto
Summon Night EX-Thesis: Yoake no Tsubasa,04-08-2005,Flight-Plan,Banpresto
Summon Night Gran-These: Horobi no Tsurugi to Yakusoku no Kishi,11-03-2010,Flight-Plan,Banpresto
Summoner,24-10-2000,Volition,THQ
Summoner 2,23-09-2002,Volition,THQ
Sumomo mo Momo mo: Chijou Saikyou no Yome,21-06-2007,Marvelous Entertainment,Marvelous Entertainment
Sunny Garcia Surfing,22-10-2001,Krome Studios,Ubisoft
Sunrise Eiyuutan 2,20-12-2001,Atelier-Sai,Sunrise Interactive
Sunrise Eiyuutan 3,01-06-2006,Sunrise Interactive,Sunrise Interactive
Sunrise Eiyuutan R,22-11-2000,Atelier-Sai,Sunrise Interactive
Sunrise World War,25-09-2003,Atelier-Sai,Bandai
Sunsoft Collection,26-06-2008,SNK Playmore,SNK Playmore
Super Bust-A-Move•Super Puzzle BobbleJP,28-09-2000,Taito,"TaitoJP, Acclaim EntertainmentEU,NA"
Super Bust-A-Move 2•Super Puzzle Bobble 2JP,19-09-2002,Taito,"TaitoJP, UbisoftEU,NA"
Super Dragon Ball Z,29-06-2006,Crafts & Meister,"BanprestoJP, AtariNA,PAL"
Super Farm,17-10-2003,Asobo Studio,Ignition Entertainment
Super Fruit Fall,01-09-2006,SLAM Productions,System 3
Super Galdelic Hour,29-03-2001,Enix,Enix
Super Micchan,26-04-2001,Jaleco,Jaleco
Super Monkey Ball Adventure,30-06-2006,Traveller's Tales,Sega
Super Monkey Ball Deluxe,15-03-2005,Sega,Sega
Super PickUps,25-09-2007,Milestone srl,XS Games
Super Robot Wars Alpha Premium Edition,28-07-2005,Bandai,Banpresto
Super Robot Wars Impact,28-03-2002,Banpresto,Banpresto
Super Robot Wars MX,27-05-2004,Banpresto,Banpresto
Super Robot Wars Original Generation Gaiden,24-12-2007,Banpresto,Banpresto
Super Robot Wars Original Generations,26-06-2007,Banpresto,Banpresto
Super Robot Wars: Scramble Commander,06-11-2003,Banpresto,Banpresto
Super Robot Wars: Scramble Commander the 2nd,01-11-2007,Banpresto,Banpresto
Super Robot Wars Z,25-09-2008,Banpresto,Banpresto
Super Robot Wars Z Special Disc,05-03-2009,Banpresto,Bandai Namco Games
Super Rugby League 2•NRL Rugby League 2AU,08-12-2005,Sidhe Interactive,Tru Blu Entertainment
Super Shanghai 2005,25-11-2004,Starfish SD,Starfish SD
"Super Trucks Racing•Super TrucksEU,JP",28-06-2002,Jester Interactive,"Jester InteractiveEU, XS GamesNA, SuccessJP"
Superbike GP,06--2006,Phoenix Games,Phoenix Games
Super-Bikes: Riding Challenge,15-09-2006,Milestone srl,Black Bean Games
Supercar Street Challenge,22-10-2001,Exakt Entertainment,Activision
Superman Returns,20-11-2006,EA Tiburon,Electronic Arts
Superman: Shadow of Apokolips,25-09-2002,Infogrames Sheffield,Infogrames
Surf's Up,30-05-2007,Ubisoft Montreal,Ubisoft
Surfing Air Show with RatBoy,18-07-2002,Now Production,Now Production
Surfing H3O•Surfroid: Densetsu no SurferJP,10-08-2000,Opus,"ASCII CorporationJP, Rockstar GamesEU,NA"
Surveillance Kanshisha,25-04-2002,Sony Computer Entertainment,Sony Computer Entertainment
The Survival Game•Simple 2000 Series Vol. 56: The Survival GameJP,22-07-2004,Best Media,D3 Publisher
The Survival Game 2•Simple 2000 Series Vol. 119: The Survival Game 2JP,09-08-2007,Best Media,D3 Publisher
Suzuki Super-bikes II: Riding Challenge,07-11-2006,Milestone srl,Valcon Games
Suzuki TT Superbikes•TT Superbikes Real Road RacingEU•TT SuperBikesJP,29-04-2005,Jester Interactive,"Jester InteractiveEU, Valcon GamesNA, TaitoJP"
Suzuki TT Superbikes: Real Road Racing Championship•TT Superbikes Real Road Racing ChampionshipEU,07-04-2008,Jester Interactive,"Jester InteractiveEU, Valcon GamesNA"
Suzumiya Haruhi no Tomadoi,31-01-2008,Banpresto,Banpresto
Suzunone Seven: Rebirth Knot,27-05-2010,Alchemist,Alchemist
SVC Chaos: SNK vs. Capcom,25-12-2003,SNK Playmore,"SNK PlaymoreJP, Ignition EntertainmentEU"
Sven-Göran Eriksson's World Challenge•WM NationalspielerDE•Marcel Desailly Pro FootballFR,24-05-2002,Anco Software,3DO
Sven-Goran Eriksson's World Cup Manager,28-06-2002,Anco Software,3DO
Swashbucklers: Blue vs. Grey,20-11-2007,Akella,Atari
SWAT: Global Strike Team,29-10-2003,Argonaut Games,Sierra Entertainment
SWAT: Siege,24-11-2006,Phoenix Games,Phoenix Games
Sweet Legacy,26-12-2002,Frontwing,Pacific Century Cyber Works
Sweet Season,31-03-2005,Takuyo,Takuyo
SweetHoneyComing,03-09-2009,Kadokawa Games,Kadokawa Games
Swing Away Golf•Golf ParadiseJP,23-03-2000,T&E Soft,"T&E SoftJP, Electronic ArtsEU,NA"
Switch,29-08-2002,Sega,Sega
The Sword of Etheria•OzJP•Chains of PowerKO,30-06-2005,Konami,Konami
Sword of the Samurai•Kengo 2JP,27-06-2002,Genki,"GenkiJP, UbisoftEU"
Swords of Destiny•Tian Xing: Swords of DestinyJP,17-02-2005,Artoon,Marvelous Entertainment
SX Superstar,04-07-2003,Climax Studios,Acclaim Entertainment
Syberia,28-03-2003,Microids,Microids
Syberia II,26-11-2004,Microids,Ubisoft
Syphon Filter: Dark Mirror,18-09-2007,Bend Studio,Sony Computer Entertainment
Syphon Filter: Logan's Shadow,02-06-2010,Bend Studio,Sony Computer Entertainment
Syphon Filter: The Omega Strain,04-05-2004,Bend Studio,Sony Computer Entertainment
The Table Game•Simple 2000 Series Vol. 1: The Table GameJP,31-05-2001,Yuki,D3 Publisher
"Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugekisu",31-01-2008,SystemSoft,SystemSoft
"Taiko: Drum Master•Taiko no Tatsujin: Taiko Drum MasterAS,JP",26-10-2004,Namco,Namco
Taiko no Tatsujin: Appare Sandaime,28-10-2003,Namco,Namco
Taiko no Tatsujin: Atsumare! Matsuri Da!! Yondaime,22-07-2004,Namco,Namco
Taiko no Tatsujin: Doka! to Oomori Nanadaime,05-12-2006,Namco,Namco
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,27-03-2003,Namco,Namco
Taiko no Tatsujin: Go! Go! Godaime,07-12-2004,Namco,Namco
Taiko no Tatsujin: Tatakon de Dodon ga Don,24-10-2002,Namco,Namco
Taiko no Tatsujin: Tobikkiri! Anime Special,02-08-2005,Namco,Namco
Taiko no Tatsujin: Wai Wai Happy Rokudaime,06-12-2005,Namco,Namco
Taiko no Tatsujin: Waku Waku Anime Matsuri,18-12-2003,Namco,Namco
Taikou Risshiden IV,29-11-2001,Koei,Koei
Taikou Risshiden V,26-08-2004,Koei,Koei
Taikyoku Mahjong: Net de Ron!,20-12-2001,Arika,Arika
The Tairyou Jigoku•Simple 2000 Series Vol. 113: The Tairyou JigokuJP,22-02-2007,Arika,Arika
Taisen Hot Gimmick: Axes-Jong,28-04-2005,Psikyo,X-Nauts
Taisen Hot Gimmick: Cosplay-jong,29-04-2004,Psikyo,X-Nauts
Taisen! Bakutama Poi Poi•Simple 2000 Ultimate Series Vol. 17: Taisen! Bakudan Poi PoiJP,26-02-2004,Psikyo,D3 Publisher
Taisen(1) Shogi,25-03-2004,Mycom,Mycom
Taisen(2) Igo,25-03-2004,Mycom,Mycom
Taisen(3) Mahjong,25-03-2004,Mycom,Mycom
Taisen(4) Soldier,25-03-2004,Mycom,Mycom
Taishou Mononoke Ibunroku,27-02-2003,Gust Co. Ltd.,Gust Co. Ltd.
Taito Legends,14-10-2005,Empire Interactive,"Empire InteractiveEU, SegaNA, TaitoKO"
Taito Legends 2,30-03-2006,Empire Interactive,"Empire InteractivePAL, DestineerNA"
Taito Memories Gekan,25-08-2005,Taito,Taito
Taito Memories II Gekan,29-03-2007,Taito,Taito
Taito Memories II Joukan,28-07-2005,Taito,Taito
Taito Memories Joukan,25-01-2007,Taito,Taito
Tak 2: The Staff of Dreams,11-10-2004,Avalanche Software,THQ
Tak and the Guardians of Gross,13-10-2008,Blitz Games,THQ
Tak and the Power of Juju,15-10-2003,Avalanche Software,THQ
Tak: The Great Juju Challenge,19-09-2005,Avalanche Software,THQ
Takahashi Naoko no Marathon Shiyouyo!,13-11-2003,Taito,Taito
The Tale of Despereaux,05-12-2007,Brash Entertainment,Brash Entertainment
Tales of the Abyss,15-12-2005,Namco Tales Studio,Namco
Tales of Destiny,30-11-2006,Namco Tales Studio,Namco
Tales of Destiny 2,28-11-2002,"Telenet Japan, Wolfteam","NamcoJP, Sony Computer EntertainmentKO"
Tales of Destiny: Director's Cut,31-01-2008,Namco Tales Studio,Bandai Namco Games
Tales of Fandom Vol. 2,28-06-2007,Namco Tales Studio,Bandai Namco Games
Tales of Legendia,25-08-2005,Namco Tales Studio,"NamcoAS,JP,NA, Sony Computer EntertainmentKO"
Tales of Rebirth,16-12-2004,Namco Tales Studio,Namco
